iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,life_expectancy
ABW,North America,Aruba,1121,0,57.714,4,0,0.143,10499.597,0,540.568,37.465,0,1.338,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1296,175,71.143,5,1,0.286,12138.696,1639.099,666.344,46.831,9.366,2.676,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1387,91,70.429,6,1,0.286,12991.027,852.331,659.654,56.198,9.366,2.676,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1464,77,70.143,6,0,0.286,13712.23,721.203,656.977,56.198,0,2.676,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1534,70,69.429,7,1,0.429,14367.87,655.639,650.287,65.564,9.366,4.014,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1568,34,66.571,7,0,0.429,14686.323,318.453,623.526,65.564,0,4.014,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1628,60,72.429,7,0,0.429,15248.3,561.977,678.386,65.564,0,4.014,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1670,42,78.429,8,1,0.571,15641.684,393.384,734.584,74.93,9.366,5.352,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1760,90,66.286,8,0,0.429,16484.649,842.965,620.85,74.93,0,4.014,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1848,88,65.857,8,0,0.286,17308.881,824.232,616.836,74.93,0,2.676,60.65,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1906,58,63.143,9,1,0.429,17852.125,543.244,591.414,84.296,9.366,4.014,60.65,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1975,69,63,10,1,0.429,18498.398,646.273,590.075,93.663,9.366,4.014,60.65,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
